date,n1,n2,n3,n4
2026-02-02,4,4,0,1
2026-02-04,2,6,3,4
2026-02-06,6,1,0,0
2026-02-09,8,7,5,0
2026-02-11,4,2,3,8
2026-02-13,2,3,2,8
2026-02-16,5,9,8,9
2026-02-18,6,7,6,5
2026-02-20,9,5,0,0
2026-02-23,6,4,4,6
2026-02-25,7,7,3,0
2026-02-27,8,7,1,0
2026-03-02,7,6,3,7
2026-03-04,2,3,5,4
2026-03-06,1,0,3,0
2026-03-09,2,8,8,3
2026-03-11,2,9,7,0
2026-03-13,9,6,1,5
2026-03-16,5,4,8,4
2026-03-18,5,5,6,4
2026-03-20,0,5,8,0
2026-03-23,4,1,4,4
2026-03-25,0,3,0,2
2026-03-27,9,5,7,6
2026-03-30,3,6,7,7
2026-04-01,7,5,0,2
2026-04-06,8,4,5,5
2026-04-08,3,1,6,1
2026-04-10,1,6,9,0
2026-04-13,6,6,0,7
2026-04-15,7,5,7,8
2026-04-17,8,9,3,3
2026-04-20,5,8,7,4
2026-04-22,3,7,9,1
2026-04-24,4,2,6,7
2026-04-27,4,6,4,7
2026-04-29,5,4,8,8
2026-05-01,7,2,6,9
2026-05-04,9,0,0,3
2026-05-06,0,9,2,6
2026-05-08,6,3,8,9
2026-05-11,6,5,1,6
2026-05-13,0,9,9,4
2026-05-15,9,1,9,3
2026-05-18,1,1,1,2
2026-05-20,7,3,0,8
2026-05-22,1,7,0,0
2026-05-25,1,9,5,7
2026-05-27,4,8,6,0
2026-05-29,6,1,2,2
2026-06-01,2,0,4,6
2026-06-03,3,4,0,9
2026-06-05,2,7,9,5
2026-06-08,5,0,3,5
2026-06-10,7,2,7,4
2026-06-12,4,0,3,3
2026-06-15,5,8,0,8
2026-06-17,5,5,6,6
2026-06-19,0,3,8,0
2026-06-22,0,9,2,3
2026-06-24,2,5,5,9
2026-06-26,0,4,0,7
2026-06-29,0,4,1,3
2026-07-01,7,0,5,8
2026-07-03,9,0,0,5
2026-07-06,1,0,0,8
2026-07-08,6,0,1,8
2026-07-10,5,3,9,0
2026-07-13,8,9,1,1
2026-07-15,1,5,9,0
2026-07-17,2,0,7,7
2026-07-20,3,7,0,8
2026-07-22,0,4,8,4
2026-07-24,7,5,6,7
2026-07-27,9,1,9,5
2026-07-29,6,9,4,7
2026-07-31,1,7,0,4
2026-01-02,7,0,5,0
2026-01-05,0,4,9,7
2026-01-07,1,2,8,5
2026-01-09,8,8,4,6
2026-01-12,1,3,2,4
2026-01-14,2,4,7,7
2026-01-16,2,3,3,6
2026-01-19,0,5,6,5
2026-01-21,8,7,6,1
2026-01-23,0,7,4,1
2026-01-26,5,2,8,6
2026-01-28,2,0,3,3
2026-01-30,2,8,8,3
2026-08-03,9,1,9,8
