date,n1,n2,n3,n4,n5,n6
2026-02-01,30,17,20,28,55,23
2026-02-03,35,55,40,12,13,31
2026-02-06,50,28,37,34,6,11
2026-02-08,58,35,30,29,13,21
2026-02-10,54,26,37,35,31,29
2026-02-13,50,41,18,34,40,58
2026-02-15,56,26,57,33,52,23
2026-02-17,30,32,56,43,27,50
2026-02-20,28,48,51,58,56,53
2026-02-22,36,43,13,3,12,30
2026-02-24,47,26,30,41,27,49
2026-02-27,51,32,19,41,12,1
2026-03-01,33,57,47,7,31,23
2026-03-03,30,40,1,24,4,21
2026-03-06,37,34,13,26,6,54
2026-03-08,44,7,9,28,6,17
2026-03-10,42,58,35,2,51,26
2026-03-13,6,17,12,58,15,11
2026-03-15,51,54,37,36,42,57
2026-03-17,29,52,49,55,25,9
2026-03-20,47,19,23,34,20,37
2026-03-22,14,8,22,50,58,19
2026-03-24,16,20,12,18,48,50
2026-03-27,12,57,16,1,42,51
2026-03-29,45,49,34,52,9,28
2026-03-31,36,7,29,26,58,9
2026-04-05,33,40,53,22,32,8
2026-04-07,17,31,50,43,15,10
2026-04-10,50,6,14,24,57,38
2026-04-12,2,21,42,34,31,8
2026-04-14,30,19,20,58,9,22
2026-04-17,24,28,20,52,26,36
2026-04-19,40,50,13,33,15,58
2026-04-21,58,34,43,5,40,3
2026-04-24,37,42,36,21,47,27
2026-04-26,48,56,29,39,55,45
2026-04-28,9,47,32,39,45,33
2026-05-01,53,37,16,45,5,29
2026-05-03,32,53,51,15,36,17
2026-05-05,1,58,25,43,26,16
2026-05-08,35,20,54,51,8,2
2026-05-10,54,45,8,21,52,31
2026-05-12,56,16,28,36,50,25
2026-05-15,2,1,38,15,14,47
2026-05-17,39,37,35,45,16,52
2026-05-19,6,38,9,26,48,14
2026-05-22,45,20,16,33,40,28
2026-05-24,50,12,20,57,14,21
2026-05-26,2,11,12,16,55,46
2026-05-29,47,21,43,20,5,37
2026-05-31,9,53,43,39,3,47
2026-06-02,39,36,12,41,4,20
2026-06-05,20,45,13,31,7,27
2026-06-07,53,1,4,45,51,22
2026-06-09,42,7,23,41,56,44
2026-06-12,40,27,10,9,53,29
2026-06-14,17,3,25,57,30,43
2026-06-16,26,8,55,48,5,51
2026-06-19,43,53,8,45,20,11
2026-06-21,15,5,45,11,17,39
2026-06-23,4,21,41,40,39,52
2026-06-26,53,54,44,57,51,7
2026-06-28,46,56,8,1,3,5
2026-06-30,14,43,54,52,11,58
2026-07-03,15,25,54,27,8,56
2026-07-05,16,38,47,49,33,46
2026-07-07,50,22,58,57,43,29
2026-07-10,18,58,41,35,46,2
2026-07-12,18,4,11,34,43,38
2026-07-14,1,23,17,48,58,34
2026-07-17,41,10,43,32,54,56
2026-07-19,15,1,33,19,8,9
2026-07-21,47,49,17,31,28,30
2026-07-24,47,54,26,10,5,36
2026-07-26,50,11,30,44,33,7
2026-07-28,32,48,34,55,30,7
2026-07-31,15,18,36,54,11,52
2026-08-02,41,38,9,23,24,35
2026-01-02,44,56,17,24,30,53
2026-01-04,19,50,20,51,37,52
2026-01-06,12,30,3,8,34,54
2026-01-09,33,15,57,23,30,53
2026-01-11,44,51,31,32,9,35
2026-01-13,28,44,11,43,33,45
2026-01-16,17,5,35,15,19,37
2026-01-18,38,55,56,2,22,3
2026-01-20,54,52,5,22,49,20
2026-01-23,8,33,21,13,19,25
2026-01-25,39,37,4,11,2,9
2026-01-27,25,50,6,46,27,7
2026-01-30,2,45,43,57,44,49
2026-08-04,35,14,7,13,46,55
